# ZAP Baseline rules — tab-separated (id<TAB>action<TAB>comment)
# Actions: IGNORE | WARN | FAIL
# Regra geral: headers de segurança ausentes → FAIL; informational → IGNORE.
# Lista completa: https://www.zaproxy.org/docs/alerts/
10038	FAIL	Content Security Policy (CSP) Header Not Set
10020	FAIL	X-Frame-Options Header Not Set
10021	FAIL	X-Content-Type-Options Header Missing
10035	FAIL	Strict-Transport-Security Header Not Set
10054	FAIL	Cookie Without SameSite Attribute
10055	WARN	CSP Scanner: wildcard directive
10063	WARN	Permissions Policy Header Not Set
10202	WARN	Absence of Anti-CSRF Tokens
10027	IGNORE	Information Disclosure - Suspicious Comments
10096	IGNORE	Timestamp Disclosure
10049	IGNORE	Storable and Cacheable Content
10015	IGNORE	Incomplete or No Cache-control Header Set
10037	IGNORE	Server Leaks Information via X-Powered-By
